143,08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH
144,08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS"
145,08X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL"
146,08X377,BRONX COMMUNITY HIGH SCHOOL
147,08X405,HERBERT H. LEHMAN HIGH SCHOOL
148,08X408,HERBERT H. LEHMAN YABC
149,08X432,BRONX BRIDGES HIGH SCHOOL
150,08X452,BRONX GUILD
151,08X507,STEVENSON YABC
152,08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE"
153,08X530,BANANA KELLY HIGH SCHOOL
154,08X537,BRONX ARENA HIGH SCHOOL
155,08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING
156,08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL
157,08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS
158,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL
159,09X231,EAGLE ACADEMY FOR YOUNG MEN
160,09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE"
161,09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE"
162,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL
163,09X252,MOTT HALL BRONX HIGH SCHOOL
164,09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS
165,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL
166,09X276,LEADERSHIP INSTITUTE
167,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES
168,09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING
169,09X329,DREAMYARD PREPARATORY SCHOOL
170,09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY
171,09X403,BRONX INTERNATIONAL HIGH SCHOOL
172,09X404,SCHOOL FOR EXCELLENCE
173,09X412,BRONX HIGH SCHOOL OF BUSINESS
174,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE
175,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS
176,09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE"
177,09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL
178,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL
179,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE
180,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141)
181,10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY
182,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL
183,10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS"
184,10X243,WEST BRONX ACADEMY FOR THE FUTURE
185,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL
186,10X284,BRONX SCHOOL OF LAW AND FINANCE
187,10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL
